Meal Choice,Meal Cost,Tourist_Country,Cities,is_canceled,lead_time,arrival_date_year,arrival_date_month,Quarters ,stays_in_weekend_nights,stays_in_week_nights,Total_Stay_Days,Adults,Children,Market_segment,Distribution_channel,Room Class,Room Cost ,Total Room Cost ,Deposit_type,days_in_waiting_list,customer_type,Reservation_status,Overall Cost,
Self Catering,200,USA  , Chennai,1,20,2021,December,1,2,0,2,2,0,Direct,Direct,C,800,1600,Non Refundable,3,Transient,No-Show,1800,
No Meal,0,Europe, Delhi,1,20,2023,July,0,2,0,2,2,0,Direct,Direct,D,700,1400,Advance,2,Transient,No-Show,1400,
Bed & Breakfast,100, China  , Lucknow,1,59,2020,April,1,2,0,2,1,0,Offline TA/TO,TA/TO,E,600,1200,Refundable,1,Transient,No-Show,1300,
No Meal,0, Norway  , Bhopal,1,59,2023,November,1,2,0,2,3,0,Offline TA/TO,TA/TO,B,900,1800,No Deposit ,4,Transient,No-Show,1800,
No Meal,0, Italy  , Chennai,1,158,2024,November,1,2,2,4,2,0,Direct,Direct,E,600,2400,Non Refundable,3,Transient,Check-Out,2400,
No Meal,0, Norway  , Chandigarh,1,46,2021,February,1,2,3,5,2,0,Online TA,TA/TO,F,500,2500,Advance,3,Transient,No-Show,2500,
Bed & Breakfast,100, Nepal  , Ahmedabad,1,68,2022,March,1,2,5,7,2,2,Online TA,TA/TO,B,900,6300,Refundable,2,Transient,Canceled,6400,
Half Meal,150, Norway  , Bangalore,1,192,2025,July,1,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,No Deposit ,2,Transient,Canceled,7150,
Half Meal,150, Italy  , Kolkata,1,92,2025,December,1,4,5,9,2,0,Direct,Direct,C,800,7200,Refundable,2,Transient,No-Show,7350,
Bed & Breakfast,100,USA  , Bangalore,1,230,2020,January,1,4,6,10,2,0,Online TA,TA/TO,E,600,6000,Non Refundable,4,Transient,Check-Out,6100,
Bed & Breakfast,100, China  , Delhi,0,256,2022,January,0,4,6,10,2,0,Offline TA/TO,TA/TO,D,700,7000,Advance,1,Contract,Canceled,7100,
Self Catering,200, China  , Jaipur,0,212,2022,October,0,4,7,11,2,0,Offline TA/TO,TA/TO,C,800,8800,Refundable,4,Contract,No-Show,9000,
Self Catering,200,USA  , Chennai,1,163,2020,December,0,1,0,1,2,0,Online TA,TA/TO,A,1000,1000,Refundable,3,Transient,Canceled,1200,
Half Meal,150,USA  , Bhopal,1,163,2024,July,1,1,0,1,2,0,Online TA,TA/TO,C,800,800,Advance,1,Transient,Check-Out,950,
Half Meal,150,Europe, Delhi,1,22,2020,September,1,1,2,3,2,0,Online TA,TA/TO,F,500,1500,Non Refundable,2,Transient,No-Show,1650,
Self Catering,200, Portugal  , Kochi,1,7,2024,April,1,1,2,3,3,1,Online TA,TA/TO,E,600,1800,Refundable,2,Transient,Check-Out,2000,
Full Meal,300, Nepal  , Lucknow,1,59,2025,June,0,1,2,3,2,0,Online TA,TA/TO,E,600,1800,Non Refundable,1,Transient,No-Show,2100,
Self Catering,200, Nepal  , Bangalore,0,202,2024,March,0,1,5,6,2,0,Offline TA/TO,TA/TO,B,900,5400,Advance,4,Transient,No-Show,5600,
Full Meal,300, Norway  , Indore,0,235,2020,March,1,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,No Deposit ,4,Transient,No-Show,7300,
Half Meal,150, Portugal  , Indore,1,87,2024,January,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Advance,1,Transient,Check-Out,5750,
Bed & Breakfast,100,Europe, Indore,1,122,2023,November,0,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Non Refundable,2,Transient,No-Show,5700,
No Meal,0,Europe, Delhi,1,234,2022,July,1,2,5,7,2,0,Online TA,TA/TO,E,600,4200,No Deposit ,3,Transient,Canceled,4200,
Full Meal,300, Iran  , Hyderabad,1,254,2024,December,1,3,6,9,2,0,Online TA,TA/TO,F,500,4500,Advance,1,Transient,No-Show,4800,
Full Meal,300, Portugal  , Ahmedabad,0,203,2021,May,0,0,2,2,2,0,Groups,TA/TO,A,1000,2000,Non Refundable,3,Transient-Party,No-Show,2300,
Bed & Breakfast,100,Europe, Jaipur,0,203,2025,August,0,0,2,2,2,0,Groups,TA/TO,C,800,1600,Non Refundable,1,Transient-Party,Check-Out,1700,
Self Catering,200, China  , Hyderabad,1,203,2022,October,1,0,2,2,2,0,Groups,TA/TO,A,1000,2000,Non Refundable,3,Transient-Party,Check-Out,2200,
No Meal,0, Iran  , Kochi,1,203,2021,September,1,0,2,2,2,0,Groups,TA/TO,E,600,1200,No Deposit ,2,Transient-Party,No-Show,1200,
Full Meal,300, Italy  , Kochi,1,203,2025,September,0,0,2,2,2,0,Groups,TA/TO,B,900,1800,No Deposit ,3,Transient-Party,No-Show,2100,
Half Meal,150, Iran  , Kolkata,1,203,2024,January,0,0,2,2,2,0,Groups,TA/TO,F,500,1000,Refundable,2,Transient-Party,No-Show,1150,
Bed & Breakfast,100,USA  , Jaipur,1,203,2025,November,0,0,2,2,2,0,Groups,TA/TO,F,500,1000,Refundable,1,Transient-Party,Canceled,1100,
Half Meal,150, Spain  , Goa,1,203,2025,May,1,0,2,2,2,0,Groups,TA/TO,E,600,1200,Non Refundable,2,Transient-Party,No-Show,1350,
Half Meal,150, Norway  , Mumbai,1,203,2024,August,0,0,2,2,2,0,Groups,TA/TO,A,1000,2000,No Deposit ,2,Transient-Party,Check-Out,2150,
Full Meal,300, China  , Mumbai,1,203,2021,February,1,0,2,2,2,0,Groups,TA/TO,F,500,1000,No Deposit ,1,Transient-Party,Canceled,1300,
Bed & Breakfast,100, Italy  , Kolkata,0,203,2024,October,1,0,2,2,1,0,Groups,TA/TO,C,800,1600,Advance,4,Transient-Party,Canceled,1700,
Self Catering,200, Iran  , Pune,0,203,2025,February,0,0,2,2,1,0,Groups,TA/TO,C,800,1600,No Deposit ,2,Transient,No-Show,1800,
Half Meal,150, Nepal  , Chandigarh,1,203,2024,March,0,0,2,2,2,0,Groups,TA/TO,B,900,1800,Non Refundable,4,Transient-Party,No-Show,1950,
No Meal,0, China  , Pune,1,203,2020,June,1,0,2,2,2,0,Groups,TA/TO,A,1000,2000,Advance,2,Transient-Party,Check-Out,2000,
Self Catering,200, Italy  , Kochi,1,203,2025,November,1,0,2,2,2,0,Groups,TA/TO,C,800,1600,Non Refundable,2,Transient-Party,No-Show,1800,
Bed & Breakfast,100,USA  , Kolkata,0,203,2025,October,1,0,2,2,2,0,Groups,TA/TO,D,700,1400,Refundable,4,Transient-Party,No-Show,1500,
Bed & Breakfast,100, Portugal  , Mumbai,0,203,2022,March,0,0,2,2,2,0,Groups,TA/TO,B,900,1800,Non Refundable,1,Transient-Party,No-Show,1900,
No Meal,0, Nepal  , Kochi,1,203,2020,July,1,0,2,2,2,0,Groups,TA/TO,A,1000,2000,Non Refundable,4,Transient-Party,No-Show,2000,
Self Catering,200, Portugal  , Jaipur,1,56,2023,September,0,0,4,4,2,0,Online TA,TA/TO,D,700,2800,Refundable,2,Transient,Canceled,3000,
Half Meal,150, Spain  , Chandigarh,1,235,2025,June,0,0,5,5,2,0,Online TA,TA/TO,F,500,2500,Refundable,2,Transient,Check-Out,2650,
Full Meal,300, Iran  , Hyderabad,0,29,2020,December,0,0,5,5,2,0,Online TA,TA/TO,D,700,3500,Refundable,4,Transient,No-Show,3800,
No Meal,0,USA  , Kochi,1,49,2023,May,1,0,5,5,2,2,Online TA,TA/TO,E,600,3000,Non Refundable,1,Transient,No-Show,3000,
Bed & Breakfast,100,Europe, Indore,1,90,2021,November,1,2,6,8,2,0,Offline TA/TO,TA/TO,B,900,7200,Refundable,1,Transient,Check-Out,7300,
Half Meal,150, Italy  , Kochi,1,48,2023,November,0,0,1,1,2,0,Direct,Direct,A,1000,1000,No Deposit ,1,Transient-Party,Canceled,1150,
Bed & Breakfast,100, Portugal  , Jaipur,1,7,2020,March,1,0,1,1,1,0,Direct,Direct,B,900,900,Advance,2,Transient-Party,Canceled,1000,
Full Meal,300, Norway  , Goa,1,59,2025,October,1,0,3,3,2,0,Online TA,TA/TO,C,800,2400,Refundable,2,Transient,Check-Out,2700,
Bed & Breakfast,100, Norway  , Ahmedabad,1,189,2021,January,1,2,5,7,2,0,Offline TA/TO,TA/TO,E,600,4200,Refundable,2,Transient,Canceled,4300,
Self Catering,200, Nepal  , Ahmedabad,0,188,2023,June,1,2,8,10,2,0,Offline TA/TO,TA/TO,D,700,7000,Non Refundable,4,Transient,No-Show,7200,
Bed & Breakfast,100,Europe, Pune,1,468,2022,November,1,0,2,2,2,0,Groups,TA/TO,A,1000,2000,Refundable,1,Transient-Party,No-Show,2100,
Bed & Breakfast,100,USA  , Kochi,1,468,2021,June,1,0,2,2,2,0,Groups,TA/TO,F,500,1000,Non Refundable,1,Transient-Party,No-Show,1100,
Half Meal,150, Norway  , Kochi,1,30,2020,April,1,0,2,2,1,0,Online TA,TA/TO,C,800,1600,Refundable,2,Transient,No-Show,1750,
No Meal,0, Nepal  , Bhopal,1,468,2022,September,1,0,2,2,2,0,Groups,TA/TO,E,600,1200,No Deposit ,3,Transient-Party,Canceled,1200,
Full Meal,300, Italy  , Kochi,1,468,2024,January,1,0,2,2,2,0,Groups,TA/TO,E,600,1200,No Deposit ,1,Transient-Party,Check-Out,1500,
No Meal,0,Europe, Bangalore,1,30,2020,December,1,0,2,2,1,0,Online TA,TA/TO,A,1000,2000,Advance,1,Transient,Check-Out,2000,
Bed & Breakfast,100, Spain  , Delhi,1,52,2021,March,1,0,2,2,3,0,Corporate,Corporate,F,500,1000,Refundable,2,Transient,Canceled,1100,
Bed & Breakfast,100, China  , Jaipur,1,69,2021,July,0,0,2,2,2,0,Groups,TA/TO,A,1000,2000,Advance,3,Transient-Party,Check-Out,2100,
Self Catering,200, Norway  , Goa,1,468,2022,October,0,0,2,2,2,0,Groups,TA/TO,D,700,1400,Non Refundable,4,Transient-Party,Check-Out,1600,
Half Meal,150,USA  , Mumbai,1,468,2024,April,0,0,2,2,2,0,Groups,TA/TO,E,600,1200,No Deposit ,2,Transient-Party,No-Show,1350,
Half Meal,150, Nepal  , Chandigarh,1,468,2022,October,0,0,2,2,2,0,Groups,TA/TO,A,1000,2000,Advance,2,Transient-Party,Canceled,2150,
Bed & Breakfast,100, Nepal  , Ahmedabad,1,468,2023,June,0,0,2,2,2,0,Groups,TA/TO,F,500,1000,Non Refundable,3,Transient-Party,Canceled,1100,
Half Meal,150, Spain  , Lucknow,1,468,2023,April,0,0,2,2,2,0,Groups,TA/TO,C,800,1600,Advance,1,Transient-Party,Canceled,1750,
No Meal,0, Nepal  , Hyderabad,1,468,2022,May,0,0,2,2,2,0,Groups,TA/TO,F,500,1000,Non Refundable,1,Transient-Party,Check-Out,1000,
Bed & Breakfast,100, Nepal  , Delhi,0,236,2025,September,1,0,3,3,2,0,Groups,TA/TO,B,900,2700,Refundable,2,Transient-Party,No-Show,2800,
Full Meal,300, Iran  , Chandigarh,0,236,2025,October,1,0,3,3,1,0,Groups,TA/TO,B,900,2700,Advance,2,Transient-Party,No-Show,3000,
Full Meal,300, Iran  , Kochi,0,236,2024,January,1,0,3,3,2,0,Groups,TA/TO,A,1000,3000,Non Refundable,1,Transient-Party,Check-Out,3300,
Self Catering,200, Iran  , Lucknow,0,236,2020,January,0,0,3,3,2,0,Groups,TA/TO,D,700,2100,Non Refundable,2,Transient-Party,No-Show,2300,
Full Meal,300, Nepal  , Delhi,0,236,2020,March,1,0,3,3,1,0,Groups,TA/TO,A,1000,3000,Advance,3,Transient-Party,Canceled,3300,
Bed & Breakfast,100, Italy  , Chennai,0,236,2025,April,1,0,3,3,2,0,Groups,TA/TO,C,800,2400,Advance,3,Transient-Party,Canceled,2500,
Half Meal,150, Spain  , Kochi,0,236,2020,March,1,0,3,3,2,0,Groups,TA/TO,C,800,2400,Refundable,1,Transient-Party,No-Show,2550,
Full Meal,300, China  , Hyderabad,0,236,2020,July,1,0,3,3,2,0,Groups,TA/TO,D,700,2100,No Deposit ,2,Transient-Party,No-Show,2400,
No Meal,0, Italy  , Pune,0,236,2020,November,0,0,3,3,2,0,Groups,TA/TO,F,500,1500,No Deposit ,1,Transient-Party,Check-Out,1500,
No Meal,0, Iran  , Lucknow,0,236,2021,November,0,0,3,3,1,0,Groups,TA/TO,F,500,1500,Refundable,2,Transient-Party,Canceled,1500,
Half Meal,150, Nepal  , Chandigarh,0,236,2023,April,1,0,3,3,1,0,Groups,TA/TO,F,500,1500,No Deposit ,4,Transient-Party,Check-Out,1650,
Full Meal,300, Portugal  , Pune,0,236,2023,November,0,0,3,3,2,0,Groups,TA/TO,D,700,2100,Refundable,3,Transient-Party,No-Show,2400,
No Meal,0, Iran  , Indore,1,236,2022,June,0,1,3,4,2,0,Groups,TA/TO,C,800,3200,Non Refundable,4,Transient-Party,Canceled,3200,
Half Meal,150, Norway  , Ahmedabad,1,236,2024,June,0,1,3,4,2,0,Groups,TA/TO,A,1000,4000,Advance,2,Transient-Party,Canceled,4150,
Bed & Breakfast,100, Nepal  , Mumbai,1,236,2020,July,0,1,3,4,2,0,Groups,TA/TO,C,800,3200,Refundable,1,Transient-Party,Check-Out,3300,
Full Meal,300, Spain  , Hyderabad,1,236,2022,March,1,1,3,4,2,0,Groups,TA/TO,B,900,3600,No Deposit ,3,Transient-Party,Canceled,3900,
Self Catering,200, Italy  , Lucknow,1,236,2021,August,0,1,3,4,2,0,Groups,TA/TO,C,800,3200,Advance,2,Transient-Party,Check-Out,3400,
Self Catering,200, Iran  , Bangalore,1,236,2021,June,1,1,3,4,2,0,Groups,TA/TO,E,600,2400,Advance,4,Transient-Party,Check-Out,2600,
Bed & Breakfast,100, Spain  , Kolkata,0,236,2022,September,1,1,3,4,2,0,Groups,TA/TO,F,500,2000,Advance,3,Transient-Party,Check-Out,2100,
Half Meal,150,USA  , Kolkata,1,236,2022,August,0,1,3,4,2,0,Groups,TA/TO,E,600,2400,Advance,2,Transient-Party,Canceled,2550,
Self Catering,200,USA  , Bhopal,1,236,2022,March,0,1,3,4,2,0,Groups,TA/TO,E,600,2400,Refundable,2,Transient-Party,No-Show,2600,
Full Meal,300, Portugal  , Goa,1,236,2020,April,1,1,3,4,2,0,Groups,TA/TO,D,700,2800,No Deposit ,4,Transient-Party,No-Show,3100,
No Meal,0, Iran  , Ahmedabad,1,236,2023,September,0,1,3,4,2,0,Groups,TA/TO,E,600,2400,Advance,2,Transient-Party,No-Show,2400,
Half Meal,150, Spain  , Indore,1,236,2024,May,1,1,3,4,2,0,Groups,TA/TO,D,700,2800,No Deposit ,4,Transient-Party,Canceled,2950,
Half Meal,150, Iran  , Mumbai,1,236,2025,October,0,1,3,4,2,0,Groups,TA/TO,A,1000,4000,Non Refundable,1,Transient-Party,Canceled,4150,
Self Catering,200, Italy  , Kochi,1,236,2020,January,1,1,3,4,2,0,Groups,TA/TO,C,800,3200,No Deposit ,1,Transient-Party,Canceled,3400,
Self Catering,200,USA  , Chandigarh,1,236,2025,January,0,1,3,4,2,0,Groups,TA/TO,A,1000,4000,Non Refundable,3,Transient-Party,Canceled,4200,
Half Meal,150, Iran  , Chennai,1,236,2021,November,0,1,3,4,2,0,Groups,TA/TO,D,700,2800,No Deposit ,2,Transient-Party,No-Show,2950,
Bed & Breakfast,100, Italy  , Delhi,1,236,2023,March,1,1,3,4,2,0,Groups,TA/TO,C,800,3200,Advance,1,Transient-Party,Check-Out,3300,
Half Meal,150, Iran  , Bangalore,1,236,2021,November,0,1,3,4,2,0,Groups,TA/TO,E,600,2400,Non Refundable,2,Transient-Party,No-Show,2550,
Full Meal,300, Spain  , Jaipur,1,236,2022,July,0,1,3,4,2,0,Groups,TA/TO,A,1000,4000,No Deposit ,3,Transient-Party,No-Show,4300,
Full Meal,300,Europe, Chennai,1,236,2022,November,0,1,3,4,2,0,Groups,TA/TO,E,600,2400,Advance,1,Transient-Party,Canceled,2700,
Self Catering,200, Iran  , Mumbai,1,114,2022,October,1,1,3,4,2,0,Online TA,TA/TO,E,600,2400,No Deposit ,2,Transient,Check-Out,2600,
No Meal,0, China  , Goa,1,236,2020,April,0,1,3,4,2,0,Groups,TA/TO,F,500,2000,Non Refundable,2,Transient-Party,Canceled,2000,
Full Meal,300, Nepal  , Delhi,1,236,2022,January,0,1,3,4,2,0,Groups,TA/TO,C,800,3200,Non Refundable,1,Transient-Party,Check-Out,3500,
No Meal,0, Nepal  , Chandigarh,1,236,2021,June,0,1,3,4,2,0,Groups,TA/TO,A,1000,4000,Non Refundable,1,Transient-Party,Check-Out,4000,
Bed & Breakfast,100, Nepal  , Delhi,1,236,2023,February,1,1,3,4,2,0,Groups,TA/TO,E,600,2400,No Deposit ,4,Transient-Party,Check-Out,2500,
Half Meal,150, Nepal  , Lucknow,1,236,2024,June,1,1,3,4,2,0,Groups,TA/TO,F,500,2000,Non Refundable,1,Transient-Party,No-Show,2150,
Self Catering,200, Spain  , Chandigarh,1,236,2021,August,0,1,3,4,2,0,Groups,TA/TO,E,600,2400,Refundable,4,Transient-Party,Check-Out,2600,
Bed & Breakfast,100, Norway  , Lucknow,1,236,2021,September,1,1,3,4,2,0,Groups,TA/TO,D,700,2800,Advance,3,Transient-Party,No-Show,2900,
Bed & Breakfast,100, Nepal  , Delhi,1,25,2025,September,0,2,3,5,2,2,Online TA,TA/TO,F,500,2500,Advance,2,Transient,Canceled,2600,
Full Meal,300, China  , Goa,1,197,2023,October,0,2,5,7,2,0,Offline TA/TO,TA/TO,C,800,5600,Non Refundable,4,Transient,No-Show,5900,
Full Meal,300, Portugal  , Goa,0,189,2024,June,0,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Non Refundable,1,Transient,Canceled,7300,
Full Meal,300, Norway  , Kolkata,0,189,2021,June,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Advance,4,Transient,Check-Out,5900,
No Meal,0, China  , Kochi,0,213,2022,June,0,2,8,10,2,0,Offline TA/TO,TA/TO,C,800,8000,Refundable,2,Transient-Party,No-Show,8000,
Self Catering,200, Italy  , Kolkata,0,213,2025,May,1,2,8,10,2,0,Offline TA/TO,TA/TO,C,800,8000,Non Refundable,3,Transient-Party,No-Show,8200,
No Meal,0, China  , Chandigarh,0,237,2020,October,1,0,0,0,1,0,Groups,TA/TO,D,700,0,Advance,3,Transient-Party,Canceled,0,
No Meal,0,Europe, Kochi,1,54,2022,November,0,0,1,1,2,0,Online TA,TA/TO,B,900,900,Refundable,2,Transient,Canceled,900,
No Meal,0, China  , Kolkata,0,237,2024,April,1,0,2,2,1,0,Groups,TA/TO,C,800,1600,Advance,3,Transient-Party,No-Show,1600,
Bed & Breakfast,100, Iran  , Pune,1,30,2020,October,0,0,2,2,1,2,Online TA,TA/TO,B,900,1800,Advance,1,Transient-Party,No-Show,1900,
Bed & Breakfast,100, Italy  , Goa,1,9,2022,February,0,0,2,2,2,0,Direct,Direct,C,800,1600,Refundable,4,Transient,No-Show,1700,
Half Meal,150, Italy  , Kolkata,1,9,2023,February,1,0,2,2,1,0,Direct,Direct,C,800,1600,Refundable,2,Transient,No-Show,1750,
No Meal,0, Spain  , Kolkata,1,119,2023,August,0,2,2,4,2,0,Online TA,TA/TO,B,900,3600,Refundable,2,Transient,No-Show,3600,
Half Meal,150, Iran  , Delhi,1,22,2025,January,0,2,2,4,2,1,Direct,Direct,D,700,2800,Refundable,3,Transient,No-Show,2950,
No Meal,0, Italy  , Chandigarh,1,119,2022,May,1,2,2,4,2,0,Online TA,TA/TO,E,600,2400,Non Refundable,1,Transient,No-Show,2400,
Self Catering,200, China  , Indore,1,17,2023,May,1,2,3,5,2,2,Online TA,TA/TO,D,700,3500,Advance,3,Transient,Check-Out,3700,
Self Catering,200, Italy  , Chennai,1,198,2025,June,0,2,4,6,2,0,Online TA,TA/TO,E,600,3600,Refundable,4,Transient,No-Show,3800,
Self Catering,200,Europe, Mumbai,0,195,2025,October,0,2,5,7,2,0,Offline TA/TO,TA/TO,B,900,6300,Non Refundable,1,Transient,Check-Out,6500,
Bed & Breakfast,100, Spain  , Chennai,1,259,2024,June,1,2,5,7,2,0,Offline TA/TO,TA/TO,D,700,4900,No Deposit ,2,Transient,No-Show,5000,
Self Catering,200, Norway  , Chennai,0,195,2020,July,0,2,5,7,2,0,Offline TA/TO,TA/TO,E,600,4200,Refundable,3,Transient,No-Show,4400,
Self Catering,200,Europe, Chennai,1,259,2024,August,1,2,5,7,2,0,Offline TA/TO,TA/TO,D,700,4900,Refundable,2,Transient,Canceled,5100,
No Meal,0, Norway  , Hyderabad,1,3,2025,May,1,4,10,14,2,0,Corporate,Corporate,F,500,7000,Advance,1,Transient,Canceled,7000,
Self Catering,200, China  , Mumbai,1,35,2022,April,1,2,4,6,2,0,Online TA,TA/TO,C,800,4800,No Deposit ,1,Transient-Party,Canceled,5000,
Half Meal,150, Iran  , Hyderabad,1,113,2025,February,1,2,4,6,2,0,Offline TA/TO,TA/TO,F,500,3000,Advance,2,Transient,Canceled,3150,
Bed & Breakfast,100, Spain  , Bangalore,1,39,2021,October,0,2,4,6,2,0,Online TA,TA/TO,A,1000,6000,Refundable,1,Transient,Canceled,6100,
Self Catering,200, Nepal  , Delhi,1,35,2020,January,0,2,4,6,2,0,Online TA,TA/TO,A,1000,6000,Non Refundable,1,Transient-Party,No-Show,6200,
Half Meal,150, China  , Bhopal,1,117,2020,April,1,2,5,7,2,0,Online TA,TA/TO,D,700,4900,Non Refundable,3,Transient,No-Show,5050,
Full Meal,300,USA  , Kolkata,1,190,2022,February,1,2,5,7,1,0,Online TA,TA/TO,E,600,4200,Non Refundable,2,Transient,Canceled,4500,
Self Catering,200, Portugal  , Chennai,1,158,2024,July,0,2,5,7,2,0,Online TA,TA/TO,B,900,6300,Refundable,1,Transient,Check-Out,6500,
No Meal,0, Nepal  , Kolkata,1,128,2021,May,0,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,No Deposit ,3,Transient-Party,No-Show,7000,
Self Catering,200, Portugal  , Pune,1,128,2020,August,1,2,5,7,2,0,Offline TA/TO,TA/TO,F,500,3500,Advance,1,Transient-Party,No-Show,3700,
Self Catering,200, Nepal  , Pune,1,128,2023,June,1,2,5,7,2,0,Offline TA/TO,TA/TO,C,800,5600,Non Refundable,2,Transient,Canceled,5800,
Half Meal,150, Iran  , Kolkata,1,190,2025,March,0,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Refundable,1,Transient,No-Show,4350,
Bed & Breakfast,100, Portugal  , Kolkata,1,120,2024,February,1,2,5,7,2,0,Online TA,TA/TO,F,500,3500,Non Refundable,4,Transient,Canceled,3600,
Full Meal,300, Portugal  , Jaipur,1,115,2024,May,0,2,6,8,2,0,Online TA,TA/TO,E,600,4800,Refundable,4,Transient,No-Show,5100,
Full Meal,300, Italy  , Kolkata,0,206,2022,June,1,4,6,10,2,0,Online TA,TA/TO,F,500,5000,No Deposit ,2,Transient,Canceled,5300,
Full Meal,300, Italy  , Bangalore,0,211,2023,June,1,1,1,2,2,0,Groups,TA/TO,E,600,1200,No Deposit ,3,Transient-Party,Canceled,1500,
Half Meal,150,Europe, Ahmedabad,0,211,2021,February,0,1,1,2,2,0,Groups,TA/TO,D,700,1400,Advance,4,Transient-Party,No-Show,1550,
Self Catering,200, Norway  , Kochi,0,211,2021,August,0,1,1,2,1,0,Groups,TA/TO,F,500,1000,No Deposit ,4,Transient-Party,No-Show,1200,
Full Meal,300,USA  , Jaipur,0,211,2023,February,1,1,1,2,1,0,Groups,TA/TO,C,800,1600,Advance,4,Transient-Party,No-Show,1900,
Half Meal,150, China  , Indore,1,211,2021,January,1,1,1,2,2,0,Groups,TA/TO,B,900,1800,Refundable,2,Transient-Party,Canceled,1950,
Full Meal,300, Norway  , Ahmedabad,0,211,2021,February,1,1,1,2,2,0,Groups,TA/TO,F,500,1000,Advance,4,Transient-Party,Canceled,1300,
Self Catering,200, Nepal  , Mumbai,0,211,2023,February,1,1,1,2,2,0,Groups,TA/TO,C,800,1600,No Deposit ,2,Transient-Party,Check-Out,1800,
Self Catering,200,USA  , Pune,0,211,2022,June,0,1,1,2,1,0,Groups,TA/TO,F,500,1000,Refundable,2,Transient-Party,Canceled,1200,
Full Meal,300, Norway  , Delhi,0,211,2024,April,1,1,1,2,1,0,Groups,TA/TO,D,700,1400,Refundable,3,Transient-Party,Check-Out,1700,
Bed & Breakfast,100, Nepal  , Goa,1,211,2022,March,1,1,1,2,2,0,Groups,TA/TO,A,1000,2000,Refundable,2,Transient-Party,Canceled,2100,
Full Meal,300, Portugal  , Indore,0,211,2022,March,0,1,1,2,2,0,Groups,TA/TO,C,800,1600,Advance,2,Transient-Party,Canceled,1900,
Bed & Breakfast,100, China  , Hyderabad,0,211,2021,May,1,1,1,2,2,0,Groups,TA/TO,D,700,1400,Non Refundable,2,Transient-Party,Canceled,1500,
Full Meal,300,Europe, Hyderabad,0,211,2024,December,1,1,1,2,2,0,Groups,TA/TO,A,1000,2000,Advance,4,Transient-Party,Check-Out,2300,
Full Meal,300, Italy  , Ahmedabad,1,211,2022,December,0,1,1,2,2,0,Groups,TA/TO,F,500,1000,No Deposit ,2,Transient-Party,No-Show,1300,
Bed & Breakfast,100, China  , Pune,1,211,2025,December,0,1,1,2,2,0,Groups,TA/TO,F,500,1000,Non Refundable,3,Transient-Party,Check-Out,1100,
Full Meal,300, Norway  , Bhopal,0,211,2022,October,1,1,1,2,2,0,Groups,TA/TO,D,700,1400,Non Refundable,2,Transient-Party,No-Show,1700,
No Meal,0, Spain  , Goa,0,211,2020,August,1,1,1,2,2,0,Groups,TA/TO,A,1000,2000,Non Refundable,4,Transient-Party,Canceled,2000,
Half Meal,150,Europe, Bangalore,0,211,2024,October,1,1,1,2,1,0,Groups,TA/TO,C,800,1600,Refundable,4,Transient-Party,No-Show,1750,
Half Meal,150, Spain  , Chandigarh,1,211,2021,November,0,1,1,2,2,0,Groups,TA/TO,C,800,1600,Advance,2,Transient-Party,No-Show,1750,
Bed & Breakfast,100, Iran  , Mumbai,1,211,2023,June,0,1,1,2,2,0,Groups,TA/TO,C,800,1600,No Deposit ,4,Transient-Party,Check-Out,1700,
No Meal,0, Nepal  , Ahmedabad,0,211,2021,September,0,1,1,2,2,0,Groups,TA/TO,D,700,1400,Non Refundable,4,Transient-Party,Check-Out,1400,
No Meal,0, China  , Bhopal,0,211,2020,July,1,1,1,2,2,0,Groups,TA/TO,F,500,1000,Non Refundable,4,Transient-Party,Canceled,1000,
Bed & Breakfast,100, Nepal  , Jaipur,0,211,2024,April,0,1,1,2,2,0,Groups,TA/TO,D,700,1400,Non Refundable,3,Transient-Party,Check-Out,1500,
No Meal,0, Nepal  , Delhi,0,211,2021,August,1,1,1,2,1,0,Groups,TA/TO,C,800,1600,Non Refundable,1,Transient-Party,Check-Out,1600,
Bed & Breakfast,100, Norway  , Kochi,0,211,2020,January,0,1,1,2,1,0,Groups,TA/TO,C,800,1600,Refundable,3,Transient-Party,Canceled,1700,
No Meal,0,Europe, Kolkata,0,211,2023,January,0,1,1,2,2,0,Groups,TA/TO,F,500,1000,Refundable,4,Transient-Party,No-Show,1000,
No Meal,0, Spain  , Pune,0,211,2023,December,1,1,1,2,2,0,Groups,TA/TO,F,500,1000,Non Refundable,3,Transient-Party,Check-Out,1000,
Bed & Breakfast,100, Italy  , Mumbai,0,211,2023,December,1,1,1,2,2,0,Groups,TA/TO,C,800,1600,Refundable,4,Transient-Party,Check-Out,1700,
Self Catering,200,Europe, Delhi,0,211,2025,September,1,1,1,2,2,0,Groups,TA/TO,E,600,1200,No Deposit ,1,Transient-Party,No-Show,1400,
